rpm,load_nm,temperature_c,stator_slots,rotor_poles,air_gap_mm,nvh_db
3269,3.0,75.4,48,6,0.31,100.0
1052,108.7,106.0,12,6,0.63,81.72
4476,26.1,33.2,48,10,0.59,100.0
1272,12.1,63.1,36,10,0.86,88.84
943,81.0,118.4,12,4,0.78,81.02
2536,23.4,73.6,18,10,0.52,93.48
4289,30.4,112.3,36,4,0.36,100.0
1264,111.2,104.9,18,10,0.88,83.22
2251,103.8,110.2,18,10,0.3,95.73
4227,34.6,89.7,48,10,0.49,100.0
2930,26.5,25.8,48,4,1.2,100.0
4619,110.4,73.1,12,4,1.32,100.0
1061,71.6,87.5,18,10,0.44,77.45
5370,5.2,28.2,48,8,1.42,100.0
2173,80.5,51.4,24,10,0.46,100.0
1094,1.6,82.1,48,4,0.39,100.0
2246,61.0,33.2,24,4,1.36,100.0
4950,84.6,81.2,48,4,1.1,100.0
5043,36.3,86.3,18,8,0.44,100.0
2731,34.2,41.1,24,6,1.12,100.0
2662,60.9,45.1,12,4,1.06,100.0
3232,92.6,83.7,24,6,1.19,100.0
5019,84.8,76.1,12,4,1.43,100.0
795,100.2,78.3,18,10,0.45,76.68
3025,44.1,113.3,12,8,0.55,91.98
5086,106.2,60.6,48,6,1.41,100.0
2439,103.8,117.6,18,10,0.33,100.0
3872,96.4,106.4,18,8,0.49,100.0
1385,46.2,23.9,36,6,0.54,100.0
2364,27.1,86.0,36,8,0.63,100.0
1068,116.0,47.9,48,10,1.12,100.0
726,14.3,117.0,18,8,0.35,63.3
5387,52.4,92.9,24,10,1.03,100.0
5223,23.2,24.4,36,4,0.92,100.0
4910,82.6,114.0,18,8,0.82,100.0
5604,38.0,104.8,24,8,1.1,100.0
3172,48.6,49.6,18,6,0.8,100.0
1925,74.1,50.1,48,4,0.66,100.0
2221,51.9,78.0,24,10,0.83,99.41
1890,79.2,48.4,48,8,0.41,100.0
2424,80.9,42.5,18,6,0.33,100.0
1096,54.9,108.6,48,6,1.16,100.0
3645,59.6,44.4,12,4,1.23,100.0
4743,56.0,75.7,12,10,0.46,100.0
